exp_name,model,dataset,lr,lr_backbone,layers,tf_layers,d_model,seed,amp_dtype,best_ppl,nan_recoveries,time_min,n_params_M,results_path
warm1500_tf_s0,transformer,tinystories,0.001,,12,,256,0,,13.55,,5.9,22.4,results/warm1500_tf_s0/results.json
wt20k_causal_2p_s0,pcn,wikitext,0.0003,,12,,256,0,,104.59,,144.4,21.0,results/wt20k_causal_2p_s0/results.json
wt20k_causal_nogate_s0,pcn,wikitext,0.0003,,12,,256,0,,87.52,,20.1,21.0,results/wt20k_causal_nogate_s0/results.json
wt20k_causal_tf_s0,transformer,wikitext,0.0003,,12,,256,0,,126.1,,18.4,22.4,results/wt20k_causal_tf_s0/results.json
wt20k_ng_lr2e-4_s0,pcn,wikitext,0.0002,,12,,256,0,,101.07,,20.3,21.0,results/wt20k_ng_lr2e-4_s0/results.json
wt20k_ng_lr3e-4_s0,pcn,wikitext,0.0003,,12,,256,0,,87.76,,20.3,21.0,results/wt20k_ng_lr3e-4_s0/results.json
wt20k_ng_lr5e4_s0,pcn,wikitext,0.0005,,12,,384,0,,285.27,,14.2,37.4,results/wt20k_ng_lr5e4_s0/results.json
wt20k_tf_lr1e3_s0,transformer,wikitext,0.001,,12,,256,0,,53.07,,18.4,22.4,results/wt20k_tf_lr1e3_s0/results.json
wt_090m_pcn_lr1e-4_ckpt,pcn,wikitext,0.0001,,24,,512,0,fp16,149.98,0,27.0,90.5,results/wt_090m_pcn_lr1e-4_ckpt/results.json
wt_090m_pcn_lr1e-4_s1,pcn,wikitext,0.0001,,24,12,512,1,fp16,149.46,0,26.0,90.5,results/wt_090m_pcn_lr1e-4_s1/results.json
wt_090m_pcn_lr1e-4_s2,pcn,wikitext,0.0001,,24,12,512,2,fp16,150.42,0,26.2,90.5,results/wt_090m_pcn_lr1e-4_s2/results.json
wt_090m_pcn_lr2e-4,pcn,wikitext,0.0002,,24,,512,0,fp16,185.44,0,27.1,90.5,results/wt_090m_pcn_lr2e-4/results.json
wt_094m_hyb8_16_s0,hybrid,wikitext,0.0001,0.0005,24,8,512,0,fp16,74.51,0,25.2,94.2,results/wt_094m_hyb8_16_s0/results.json
wt_094m_hyb_s0,hybrid,wikitext,0.0001,0.0005,24,12,512,0,fp16,63.42,0,25.1,96.0,results/wt_094m_hyb_s0/results.json
wt_094m_hyb_s1,hybrid,wikitext,0.0001,0.0005,24,12,512,1,fp16,63.13,0,26.3,96.0,results/wt_094m_hyb_s1/results.json
wt_094m_hyb_s2,hybrid,wikitext,0.0001,0.0005,24,12,512,2,fp16,62.99,0,26.0,96.0,results/wt_094m_hyb_s2/results.json
wt_096m_hyb_h2e-4_s0,hybrid,wikitext,0.0002,0.0005,24,12,512,0,fp16,75.66,0,25.4,96.0,results/wt_096m_hyb_h2e-4_s0/results.json
wt_096m_hyb_h5e-5_s0,hybrid,wikitext,5e-05,0.0005,24,12,512,0,fp16,62.53,0,25.3,96.0,results/wt_096m_hyb_h5e-5_s0/results.json
wt_097m_hyb16_8_s0,hybrid,wikitext,0.0001,0.0005,24,16,512,0,fp16,54.42,0,24.9,97.8,results/wt_097m_hyb16_8_s0/results.json
wt_200m_tf_lr5e-4_ckpt,transformer,wikitext,0.0005,,24,,512,0,fp16,101.04,0,25.6,101.5,results/wt_200m_tf_lr5e-4_ckpt/results.json
wt_200m_tf_lr5e-4_s1,transformer,wikitext,0.0005,,24,12,512,1,fp16,96.32,0,24.9,101.5,results/wt_200m_tf_lr5e-4_s1/results.json
wt_200m_tf_lr5e-4_s2,transformer,wikitext,0.0005,,24,12,512,2,fp16,100.65,0,24.9,101.5,results/wt_200m_tf_lr5e-4_s2/results.json
wt_2p_lr1e3_s0,pcn,wikitext,0.001,,12,,256,0,,201.47,,36.0,21.0,results/wt_2p_lr1e3_s0/results.json
wt_2p_lr5e4_s0,pcn,wikitext,0.0005,,12,,256,0,,200.9,,35.9,21.0,results/wt_2p_lr5e4_s0/results.json
wt_causal_no_gating_s0,pcn,wikitext,0.0003,,12,,256,0,,176.48,,5.4,21.0,results/wt_causal_no_gating_s0/results.json
wt_causal_no_gating_s1,pcn,wikitext,0.0003,,12,,256,1,,175.37,,5.1,21.0,results/wt_causal_no_gating_s1/results.json
wt_causal_no_gating_s2,pcn,wikitext,0.0003,,12,,256,2,,176.52,,5.1,21.0,results/wt_causal_no_gating_s2/results.json
wt_causal_no_gating_s3,pcn,wikitext,0.0003,,12,,256,3,,175.89,,5.1,21.0,results/wt_causal_no_gating_s3/results.json
wt_causal_no_gating_s4,pcn,wikitext,0.0003,,12,,256,4,,175.52,,5.1,21.0,results/wt_causal_no_gating_s4/results.json
wt_causal_tf_lr1e3_s0,transformer,wikitext,0.001,,12,,256,0,,251.97,,4.9,22.4,results/wt_causal_tf_lr1e3_s0/results.json
wt_causal_transformer_s0,transformer,wikitext,0.0003,,12,,256,0,,557.11,,5.4,22.4,results/wt_causal_transformer_s0/results.json
wt_causal_transformer_s1,transformer,wikitext,0.0003,,12,,256,1,,578.6,,5.1,22.4,results/wt_causal_transformer_s1/results.json
wt_causal_transformer_s2,transformer,wikitext,0.0003,,12,,256,2,,579.26,,5.1,22.4,results/wt_causal_transformer_s2/results.json
wt_causal_transformer_s3,transformer,wikitext,0.0003,,12,,256,3,,573.43,,5.1,22.4,results/wt_causal_transformer_s3/results.json
wt_causal_transformer_s4,transformer,wikitext,0.0003,,12,,256,4,,581.04,,5.1,22.4,results/wt_causal_transformer_s4/results.json
wt_causal_twopass_s0,pcn,wikitext,0.0003,,12,,256,0,,220.17,,36.5,21.0,results/wt_causal_twopass_s0/results.json
wt_causal_twopass_s1,pcn,wikitext,0.0003,,12,,256,1,,211.33,,36.0,21.0,results/wt_causal_twopass_s1/results.json
