timestamp, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/07 10:45:46.586, 245.92 W, 97 %, 9154 MiB
2026/09/07 10:45:56.600, 247.99 W, 96 %, 9164 MiB
2026/09/07 10:46:06.601, 246.37 W, 95 %, 9155 MiB
2026/09/07 10:46:16.603, 300.76 W, 97 %, 9150 MiB
2026/09/07 10:46:26.605, 30.55 W, 26 %, 847 MiB
2026/09/07 10:46:36.620, 29.14 W, 27 %, 843 MiB
2026/09/07 10:46:46.632, 28.97 W, 27 %, 847 MiB
2026/09/07 10:46:56.646, 28.79 W, 26 %, 843 MiB
2026/09/07 10:47:06.652, 28.86 W, 28 %, 847 MiB
2026/09/07 10:47:16.659, 28.78 W, 26 %, 847 MiB
2026/09/07 10:47:26.672, 28.51 W, 28 %, 847 MiB
2026/09/07 10:47:36.686, 28.56 W, 28 %, 853 MiB
2026/09/07 10:47:46.687, 28.56 W, 26 %, 847 MiB
2026/09/07 10:47:56.695, 28.53 W, 26 %, 847 MiB
2026/09/07 10:48:06.705, 28.49 W, 26 %, 847 MiB
2026/09/07 10:48:16.719, 28.44 W, 25 %, 847 MiB
2026/09/07 10:48:26.726, 28.42 W, 31 %, 857 MiB
2026/09/07 10:48:36.732, 28.45 W, 27 %, 844 MiB
2026/09/07 10:48:46.739, 28.30 W, 28 %, 847 MiB
2026/09/07 10:48:56.745, 28.31 W, 26 %, 847 MiB
2026/09/07 10:49:06.749, 28.20 W, 27 %, 847 MiB
2026/09/07 10:49:16.754, 27.85 W, 29 %, 853 MiB
2026/09/07 10:49:26.760, 27.80 W, 27 %, 852 MiB
2026/09/07 10:49:36.770, 27.88 W, 27 %, 847 MiB
2026/09/07 10:49:46.770, 27.78 W, 25 %, 845 MiB
2026/09/07 10:49:56.774, 27.98 W, 31 %, 862 MiB
